EndDate,EventID,Other,RoadName,StartDate,SvcDept
2016-05-31,RMINRM-201604-0608,"For details, please call 6332 6505",NANYANG AVENUE,2016-04-27,LAND TRANSPORT AUTHORITY
2016-10-21,RMINRM-201604-0451,"For details, please call",NASSIM ROAD,2016-04-21,LAND TRANSPORT AUTHORITY
2016-07-01,RMINRM-201603-1054,"For details, please call",NASSIM ROAD,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201604-0539,"For details, please call 65919588",NEIL ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2017-02-28,RMINRM-201602-0393,"For details, please call 66544622",NEIL ROAD (Bus Lane Affected),2016-02-17,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201604-0617,"For details, please call 67095283",NEW BRIDGE ROAD (Bus Lane Affected),2016-05-01,LAND TRANSPORT AUTHORITY
2016-07-31,RMINRM-201605-0107,"For details, please call 65172008",NEW MARKET ROAD,2016-05-05,PUB - WATER RECLAMATION (NETWORK) DEPT
2016-08-31,RMINRM-201604-0541,"For details, please call 65172008",NEW MARKET ROAD,2016-04-26,PUB - WATER RECLAMATION (NETWORK) DEPT
2016-08-31,RMINRM-201604-0540,"For details, please call 65172008",NEW MARKET ROAD,2016-04-26,PUB - WATER RECLAMATION (NETWORK) DEPT
2017-03-31,RMINRM-201603-0385,"For details, please call +6563384689",NEW UPPER CHANGI ROAD,2016-03-18,LAND TRANSPORT AUTHORITY
2017-03-31,RMINRM-201603-0386,"For details, please call +6563384689",NEW UPPER CHANGI ROAD,2016-03-18,LAND TRANSPORT AUTHORITY
2018-09-29,RMINRM-201507-0926,"For details, please call 62616287",NEW UPPER CHANGI ROAD (Bus Lane Affected),2015-07-29,LAND TRANSPORT AUTHORITY
2018-09-29,RMINRM-201507-0919,"For details, please call 62616287",NEW UPPER CHANGI ROAD (Bus Lane Affected),2015-07-29,LAND TRANSPORT AUTHORITY
2016-06-25,RMINRM-201601-0532,"For details, please call 65946517",NEWTON ROAD (Bus Lane Affected),2016-01-25,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0335,"For details, please call 64406298",NICOLL HIGHWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0334,"For details, please call 64406298",NICOLL HIGHWAY,2016-04-01,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0440,"For details, please call 65946504",NICOLL HIGHWAY (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-25,RMINRM-201601-0541,"For details, please call 65946517",NORFOLK ROAD (Bus Lane Affected),2016-02-15,LAND TRANSPORT AUTHORITY
2016-06-09,RMINRM-201603-0277,"For details, please call 6396 1375",NORTH BUONA VISTA ROAD,2016-03-09,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201605-0054,"For details, please call 62957407",ONE-NORTH GATEWAY,2016-05-04,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201604-0461,"For details, please call 62957407",ONE-NORTH GATEWAY,2016-04-22,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0462,"For details, please call 62957407",ONE-NORTH GATEWAY,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0457,"For details, please call 62957407",ONE-NORTH LINK,2016-03-21,LAND TRANSPORT AUTHORITY
2017-03-20,RMINRM-201603-0456,"For details, please call 62957407",ONE-NORTH LINK,2016-03-21,LAND TRANSPORT AUTHORITY
2016-06-30,RMINRM-201603-0444,"For details, please call 65946504",OPHIR ROAD (Bus Lane Affected),2016-03-21,LAND TRANSPORT AUTHORITY
2016-05-31,RMINRM-201605-0080,"For details, please call 6517 0369",ORCHARD BOULEVARD,2016-05-05,LAND TRANSPORT AUTHORITY
2016-10-31,RMINRM-201603-0924,"For details, please call 6517 0369",ORCHARD BOULEVARD,2016-04-01,LAND TRANSPORT AUTHORITY
2016-07-31,RMINRM-201603-0810,"For details, please call 6517 0369",ORCHARD BOULEVARD (Bus Lane Affected),2016-04-01,LAND TRANSPORT AUTHORITY
2016-07-31,RMINRM-201603-0804,"For details, please call 6517 0369",ORCHARD BOULEVARD (Bus Lane Affected),2016-04-01,LAND TRANSPORT AUTHORITY
